AA,dM_GOS,dM_KLU,dM_CL,t_Intro,t_Decay
C,-4.94,0.2,-1.34,5.459505389697375e8,5.677027049040982e9
D,-7.19,0.58,-1.26,3.981140184370231e8,4.896590632068914e9
E,6.82,0.45,1.26,8.560172556685154e8,4.715738239459233e9
F,-4.76,0.66,0.14,1.484292373242883e9,4.709563098002961e9
H,-6.36,0.48,-1.37,3.9703409704063636e8,5.1124930507365675e9
K,6.19,-0.53,0.99,9.268596250439606e8,7.623231303121946e9
N,-6.62,0.25,-1.88,3.066528495578795e8,5.591234934741629e9
Q,7.02,-0.25,1.67,4.873544372264948e8,6.8105913784558935e9
Y,-6.72,0.17,-1.65,4.217382230444527e8,5.747657610508107e9
Z,-6.24,0.18,-1.68,4.030679679071916e8,5.726851470461739e9
